,citymodel_id,spotlist_id
0,2021,2021001
1,2021,2021002
2,2021,2021003
3,2021,2021004
4,2021,2021005
5,2021,2021006
6,2021,2021007
7,2021,2021008
8,2021,2021009
9,2021,2021010
10,2021,2021011
11,2021,2021012
12,2021,2021013
13,2021,2021014
14,2021,2021015
15,2021,2021016
16,2021,2021017
17,2021,2021018
18,2021,2021019
19,2021,2021020
20,2021,2021021
21,2021,2021022
22,2021,2021023
23,2021,2021024
24,2021,2021025
25,2021,2021026
26,2021,2021027
27,2021,2021028
28,2021,2021029
29,2021,2021030
30,2021,2021031
31,2021,2021032
32,2021,2021033
33,2021,2021034
34,2021,2021035
35,2021,2021036
36,2021,2021037
37,2021,2021038
38,2021,2021039
39,2021,2021040
40,2022,2022001
41,2022,2022002
42,2022,2022003
43,2022,2022004
44,2022,2022005
45,2022,2022006
46,2022,2022007
47,2022,2022008
48,2022,2022009
49,2022,2022010
50,2022,2022011
51,2022,2022012
52,2022,2022013
53,2022,2022014
54,2022,2022015
55,2022,2022016
56,2022,2022017
57,2022,2022018
58,2022,2022019
59,2022,2022020
60,2022,2022021
61,2022,2022022
62,2022,2022023
63,2022,2022024
64,2022,2022025
65,2022,2022026
66,2022,2022027
67,2022,2022028
68,2022,2022029
69,2022,2022030
70,2022,2022031
71,2022,2022032
72,2022,2022033
73,2022,2022034
74,2022,2022035
75,2022,2022036
76,2023,2023001
77,2023,2023002
78,2023,2023003
79,2023,2023004
80,2023,2023005
81,2023,2023006
82,2023,2023007
83,2023,2023008
84,2023,2023009
85,2023,2023010
86,2023,2023011
87,2023,2023012
88,2023,2023013
89,2023,2023014
90,2023,2023015
91,2023,2023016
92,2023,2023017
93,2023,2023018
94,2023,2023019
95,2023,2023020
96,2023,2023021
97,2023,2023022
98,2023,2023023
99,2023,2023024
100,2023,2023025
101,2023,2023026
102,2023,2023027
103,2023,2023028
104,2023,2023029
105,2023,2023030
106,2023,2023031
107,2023,2023032
108,2023,2023033
109,2023,2023034
110,2023,2023035
111,2023,2023036
112,2023,2023037
113,2023,2023038
114,2023,2023039
115,2023,2023040
